P1780035279693,kugn,99999,30,29/05/2026
P1780035555489,All00,260,2,29/05/2026
P1782027915065,rể,0,0,21/06/2026
P1782038520951,Khanh,16095,30,21/06/2026
P1782039301218,admin,18090,30,21/06/2026
P1782039745113,admin1,18200,30,21/06/2026
P1782041530642,NguoiChoiAnDanh,480,2,21/06/2026
P1782041635618,admin2,18220,30,21/06/2026
P1782042115832,2,0,0,21/06/2026
P1782127966870,NguoiChoiAnDanh,18200,30,22/06/2026
P1782128657703,NguoiChoiAnDanh,0,30,22/06/2026
P1782130413463,adad,9440,30,22/06/2026
P1782131481531,NguoiChoiAnDanh,0,1,22/06/2026
P1782131574112,NguoiChoiAnDanh,0,30,22/06/2026
P1782132070411,dev1,17960,30,22/06/2026
